STEMMING,tokenized_sents,polarity_score,polarity
unnesmenfess wkwk halte nunggu mobil yang muter unnes nama lupa malam tidak lampu ya bagai mojok yang laku yang deket fh fis gelap yakann azuqma wkwkw,"['unnesmenfess', 'wkwk', 'halte', 'nunggu', 'mobil', 'yang', 'muter', 'unnes', 'nama', 'lupa', 'malam', 'tidak', 'lampu', 'ya', 'bagai', 'mojok', 'yang', 'laku', 'yang', 'deket', 'fh', 'fis', 'gelap', 'yakann', 'azuqma', 'wkwkw']",-20,-1
fitrahdharul gogo74070675957 bospurwa aniesbaswedan abwnews agusyudhoyono suryapaloh51 syaikhu ahmad nasdem pksejahtera pdemokrat dpp partaiummat pemudakabah panglimapemuda1 pemudanasdem pppemudamu mjl rasulullah aniesmania undip univ indonesia unpad ugmyogyakarta ub official unair official unj official upiofficial univ buka usakti official itbofficial bemfe unnes anak unhas official unand dpr ri mprgoid qj2fxqsmganjqrh ipbofficial bpkri kpk ri kejaksaanri antikorupsi dpdri paramadina dprddkijakarta kemendagri sudah saya jawab blok guwoblook kok,"['fitrahdharul', 'gogo74070675957', 'bospurwa', 'aniesbaswedan', 'abwnews', 'agusyudhoyono', 'suryapaloh51', 'syaikhu', 'ahmad', 'nasdem', 'pksejahtera', 'pdemokrat', 'dpp', 'partaiummat', 'pemudakabah', 'panglimapemuda1', 'pemudanasdem', 'pppemudamu', 'mjl', 'rasulullah', 'aniesmania', 'undip', 'univ', 'indonesia', 'unpad', 'ugmyogyakarta', 'ub', 'official', 'unair', 'official', 'unj', 'official', 'upiofficial', 'univ', 'buka', 'usakti', 'official', 'itbofficial', 'bemfe', 'unnes', 'anak', 'unhas', 'official', 'unand', 'dpr', 'ri', 'mprgoid', 'qj2fxqsmganjqrh', 'ipbofficial', 'bpkri', 'kpk', 'ri', 'kejaksaanri', 'antikorupsi', 'dpdri', 'paramadina', 'dprddkijakarta', 'kemendagri', 'sudah', 'saya', 'jawab', 'blok', 'guwoblook', 'kok']",-4,-1
fitrahdharul gogo74070675957 bospurwa aniesbaswedan abwnews agusyudhoyono suryapaloh51 syaikhu ahmad nasdem pksejahtera pdemokrat dpp partaiummat pemudakabah panglimapemuda1 pemudanasdem pppemudamu mjl rasulullah aniesmania undip univ indonesia unpad ugmyogyakarta ub official unair official unj official upiofficial univ buka usakti official itbofficial paramadina bemfe unnes anak unhas official unand katabewe nazaqistsha sautsitumorangk kpk ri kejaksaanri sn setyanovanto bem unsoed blok guwoblook scrolling tadu sudah saya jawab,"['fitrahdharul', 'gogo74070675957', 'bospurwa', 'aniesbaswedan', 'abwnews', 'agusyudhoyono', 'suryapaloh51', 'syaikhu', 'ahmad', 'nasdem', 'pksejahtera', 'pdemokrat', 'dpp', 'partaiummat', 'pemudakabah', 'panglimapemuda1', 'pemudanasdem', 'pppemudamu', 'mjl', 'rasulullah', 'aniesmania', 'undip', 'univ', 'indonesia', 'unpad', 'ugmyogyakarta', 'ub', 'official', 'unair', 'official', 'unj', 'official', 'upiofficial', 'univ', 'buka', 'usakti', 'official', 'itbofficial', 'paramadina', 'bemfe', 'unnes', 'anak', 'unhas', 'official', 'unand', 'katabewe', 'nazaqistsha', 'sautsitumorangk', 'kpk', 'ri', 'kejaksaanri', 'sn', 'setyanovanto', 'bem', 'unsoed', 'blok', 'guwoblook', 'scrolling', 'tadu', 'sudah', 'saya', 'jawab']",-4,-1
ness cari teman ngontrak khusus cewek kontrakanya mirip kos lokasi kedawung 5 deket kota info rep ya dm,"['ness', 'cari', 'teman', 'ngontrak', 'khusus', 'cewek', 'kontrakanya', 'mirip', 'kos', 'lokasi', 'kedawung', '5', 'deket', 'kota', 'info', 'rep', 'ya', 'dm']",-7,-1
fitrahdharul gogo74070675957 bospurwa aniesbaswedan abwnews agusyudhoyono suryapaloh51 syaikhu ahmad nasdem pksejahtera pdemokrat dpp partaiummat pemudakabah panglimapemuda1 pemudanasdem pppemudamu mjl rasulullah aniesmania undip univ indonesia unpad ugmyogyakarta ub official unair official unj official upiofficial univ buka paramadina usakti official itbofficial bemfe unnes anak unhas official unand goal id dpr ri mprgoid dpdri bpkri kpk ri kejaksaanri wkakakaaakk memang pintar kalau bikin hoax sudah jlz jadi tri pecat korupsi kok nyobrot,"['fitrahdharul', 'gogo74070675957', 'bospurwa', 'aniesbaswedan', 'abwnews', 'agusyudhoyono', 'suryapaloh51', 'syaikhu', 'ahmad', 'nasdem', 'pksejahtera', 'pdemokrat', 'dpp', 'partaiummat', 'pemudakabah', 'panglimapemuda1', 'pemudanasdem', 'pppemudamu', 'mjl', 'rasulullah', 'aniesmania', 'undip', 'univ', 'indonesia', 'unpad', 'ugmyogyakarta', 'ub', 'official', 'unair', 'official', 'unj', 'official', 'upiofficial', 'univ', 'buka', 'paramadina', 'usakti', 'official', 'itbofficial', 'bemfe', 'unnes', 'anak', 'unhas', 'official', 'unand', 'goal', 'id', 'dpr', 'ri', 'mprgoid', 'dpdri', 'bpkri', 'kpk', 'ri', 'kejaksaanri', 'wkakakaaakk', 'memang', 'pintar', 'kalau', 'bikin', 'hoax', 'sudah', 'jlz', 'jadi', 'tri', 'pecat', 'korupsi', 'kok', 'nyobrot']",-13,-1
unnesmenfess 4k gass nder https t co rij4x8nq9t,"['unnesmenfess', '4k', 'gass', 'nder', 'https', 't', 'co', 'rij4x8nq9t']",0,0
ness jastip 3k ready sekarang,"['ness', 'jastip', '3k', 'ready', 'sekarang']",1,1
ness kos habis air tidak air tidak nyala gg flamboyan cempakasari timur habis air,"['ness', 'kos', 'habis', 'air', 'tidak', 'air', 'tidak', 'nyala', 'gg', 'flamboyan', 'cempakasari', 'timur', 'habis', 'air']",-13,-1
jeonghanwangy nxxxa06 mah segitu,"['jeonghanwangy', 'nxxxa06', 'mah', 'segitu']",-3,-1
unnesmenfess ready anjem 24 jam harga murah riah driver ramah minat pc https t co tsqffwlfwi,"['unnesmenfess', 'ready', 'anjem', '24', 'jam', 'harga', 'murah', 'riah', 'driver', 'ramah', 'minat', 'pc', 'https', 't', 'co', 'tsqffwlfwi']",14,1
fitrahdharul abwnews aniesbaswedan agusyudhoyono sbyudhoyono pdemokrat suryapaloh51 nasdem syaikhu ahmad pksejahtera aniesmania langkahanies suaraanies ulamalovers aniesindonesia indonesianies jarnasabw garnies id jkt abpogarnies aniesbaswedan1 dpr ri undip univ indonesia unpad ugmyogyakarta ub official unair official unj official upiofficial univ buka usakti official itbofficial bemfe unnes anak unhas official unand mprgoid dpdri crottt https t co yavyqdws1l,"['fitrahdharul', 'abwnews', 'aniesbaswedan', 'agusyudhoyono', 'sbyudhoyono', 'pdemokrat', 'suryapaloh51', 'nasdem', 'syaikhu', 'ahmad', 'pksejahtera', 'aniesmania', 'langkahanies', 'suaraanies', 'ulamalovers', 'aniesindonesia', 'indonesianies', 'jarnasabw', 'garnies', 'id', 'jkt', 'abpogarnies', 'aniesbaswedan1', 'dpr', 'ri', 'undip', 'univ', 'indonesia', 'unpad', 'ugmyogyakarta', 'ub', 'official', 'unair', 'official', 'unj', 'official', 'upiofficial', 'univ', 'buka', 'usakti', 'official', 'itbofficial', 'bemfe', 'unnes', 'anak', 'unhas', 'official', 'unand', 'mprgoid', 'dpdri', 'crottt', 'https', 't', 'co', 'yavyqdws1l']",0,0
ness abis makan minum yang manis ingin yang asin abis itu ingin yang manis terus asin gimana henti,"['ness', 'abis', 'makan', 'minum', 'yang', 'manis', 'ingin', 'yang', 'asin', 'abis', 'itu', 'ingin', 'yang', 'manis', 'terus', 'asin', 'gimana', 'henti']",-20,-1
unnesmenfess raedy kak tapi cowok,"['unnesmenfess', 'raedy', 'kak', 'tapi', 'cowok']",0,0
ness yang sudah sidang beli makan yang dosen mana ya,"['ness', 'yang', 'sudah', 'sidang', 'beli', 'makan', 'yang', 'dosen', 'mana', 'ya']",-12,-1
ness anjem poncol unnes malam kalau driver cewek yaa makasihh,"['ness', 'anjem', 'poncol', 'unnes', 'malam', 'kalau', 'driver', 'cewek', 'yaa', 'makasihh']",-2,-1
makan nasi goreng ness https t co byavxvtgqr,"['makan', 'nasi', 'goreng', 'ness', 'https', 't', 'co', 'byavxvtgqr']",1,1
ianaaff iya cuyy unnes yang ngaliyan,"['ianaaff', 'iya', 'cuyy', 'unnes', 'yang', 'ngaliyan']",-5,-1
ness info print an buka daerah jalan taman siswa banar,"['ness', 'info', 'print', 'an', 'buka', 'daerah', 'jalan', 'taman', 'siswa', 'banar']",1,1
ness seblak worth it dongg ingin bangetttt,"['ness', 'seblak', 'worth', 'it', 'dongg', 'ingin', 'bangetttt']",0,0
ness mbalek numpak sepeda wae wkwkwk https t co qv7konln80,"['ness', 'mbalek', 'numpak', 'sepeda', 'wae', 'wkwkwk', 'https', 't', 'co', 'qv7konln80']",3,1
yang ngira anggur sangat salah guys main cocok kalau luang saja itu tidak sampai berjam2 btw palung tidak ness https t co hdibqea6tz,"['yang', 'ngira', 'anggur', 'sangat', 'salah', 'guys', 'main', 'cocok', 'kalau', 'luang', 'saja', 'itu', 'tidak', 'sampai', 'berjam2', 'btw', 'palung', 'tidak', 'ness', 'https', 't', 'co', 'hdibqea6tz']",-32,-1
ness yang tahu nama mie yang kek gac0an patemon yang pricel1st nya tolong dropp,"['ness', 'yang', 'tahu', 'nama', 'mie', 'yang', 'kek', 'gac0an', 'patemon', 'yang', 'pricel1st', 'nya', 'tolong', 'dropp']",-17,-1
sender dapat kirim sii kek gituu ya maybe lebih uang kali ya btw teman sender tidak motor bgtt ngajakin makan,"['sender', 'dapat', 'kirim', 'sii', 'kek', 'gituu', 'ya', 'maybe', 'lebih', 'uang', 'kali', 'ya', 'btw', 'teman', 'sender', 'tidak', 'motor', 'bgtt', 'ngajakin', 'makan']",-2,-1
ness jadi sender teman makan yang harga tidak sangat karena memang masih ngirit sender tolak ganti saja yang posisi nya sudah dapat tf an tapi teman sender bilang gin memang kenapa kalau dengan mana cont,"['ness', 'jadi', 'sender', 'teman', 'makan', 'yang', 'harga', 'tidak', 'sangat', 'karena', 'memang', 'masih', 'ngirit', 'sender', 'tolak', 'ganti', 'saja', 'yang', 'posisi', 'nya', 'sudah', 'dapat', 'tf', 'an', 'tapi', 'teman', 'sender', 'bilang', 'gin', 'memang', 'kenapa', 'kalau', 'dengan', 'mana', 'cont']",-21,-1
sender lagi sedih sangat ness,"['sender', 'lagi', 'sedih', 'sangat', 'ness']",-10,-1
ness info jastip nasi goreng dongg,"['ness', 'info', 'jastip', 'nasi', 'goreng', 'dongg']",-2,-1
unnesmenfess ready driver cewek kak langsung saya saja link yang bio,"['unnesmenfess', 'ready', 'driver', 'cewek', 'kak', 'langsung', 'saya', 'saja', 'link', 'yang', 'bio']",-7,-1
anjem yang ready sekarang gakk ness,"['anjem', 'yang', 'ready', 'sekarang', 'gakk', 'ness']",-4,-1
yang preloved teflon tidak ness,"['yang', 'preloved', 'teflon', 'tidak', 'ness']",-10,-1
ness info megono moga,"['ness', 'info', 'megono', 'moga']",-2,-1
ness inpo yang sewa motor matic minggu senin kalau serta feenya terima kasih,"['ness', 'inpo', 'yang', 'sewa', 'motor', 'matic', 'minggu', 'senin', 'kalau', 'serta', 'feenya', 'terima', 'kasih']",-1,-1
titip ness nontonin orang mesum dulu jembatan jamet foto kemarin malam https t co n0bfj6phvw,"['titip', 'ness', 'nontonin', 'orang', 'mesum', 'dulu', 'jembatan', 'jamet', 'foto', 'kemarin', 'malam', 'https', 't', 'co', 'n0bfj6phvw']",-7,-1
ness memang jadi orang ceroboh tuh salah kah tidak ingin juga jadi ceroboh coba tidak ceroboh kadang jadi ceroboh disalahsalahin terus,"['ness', 'memang', 'jadi', 'orang', 'ceroboh', 'tuh', 'salah', 'kah', 'tidak', 'ingin', 'juga', 'jadi', 'ceroboh', 'coba', 'tidak', 'ceroboh', 'kadang', 'jadi', 'ceroboh', 'disalahsalahin', 'terus']",-31,-1
ness yang nyewain heels besok sabtu tidak ya heels ukur 39 40 warna nude hitam reply saja plus kasih foto heels nya nnt dm,"['ness', 'yang', 'nyewain', 'heels', 'besok', 'sabtu', 'tidak', 'ya', 'heels', 'ukur', '39', '40', 'warna', 'nude', 'hitam', 'reply', 'saja', 'plus', 'kasih', 'foto', 'heels', 'nya', 'nnt', 'dm']",-6,-1
ness info laundry yang kilat 1hari anter jemput dongg,"['ness', 'info', 'laundry', 'yang', 'kilat', '1hari', 'anter', 'jemput', 'dongg']",-7,-1
pcrkveh jepang utara jawa indonesia kamu unnes unnes cowonya undip ngapel cewenya unnes,"['pcrkveh', 'jepang', 'utara', 'jawa', 'indonesia', 'kamu', 'unnes', 'unnes', 'cowonya', 'undip', 'ngapel', 'cewenya', 'unnes']",0,0
ness tanyaa terminal terdekett unnes gunpat sampang tuh yaa,"['ness', 'tanyaa', 'terminal', 'terdekett', 'unnes', 'gunpat', 'sampang', 'tuh', 'yaa']",-3,-1
ness gimbab yang dulu arnold sekarang pindah mana deh antre mirip dulu tidak ya and layan sekarang sudah ramah belum,"['ness', 'gimbab', 'yang', 'dulu', 'arnold', 'sekarang', 'pindah', 'mana', 'deh', 'antre', 'mirip', 'dulu', 'tidak', 'ya', 'and', 'layan', 'sekarang', 'sudah', 'ramah', 'belum']",-10,-1
saya sudah jajah beberapa kuliner unnes enak trimss unnes fess,"['saya', 'sudah', 'jajah', 'beberapa', 'kuliner', 'unnes', 'enak', 'trimss', 'unnes', 'fess']",-6,-1
ness yang tahu bewl1i sprei bed cover mana tidak,"['ness', 'yang', 'tahu', 'bewl1i', 'sprei', 'bed', 'cover', 'mana', 'tidak']",-7,-1
unnesmenfess ready kak tapi laki,"['unnesmenfess', 'ready', 'kak', 'tapi', 'laki']",1,1
ness hallo teman teman bolehh tolong tidak tugas bikin proposal butuh anak psikolog kalau tidak anak bimbing konsling ngelengkapin kelompok pls rply ya,"['ness', 'hallo', 'teman', 'teman', 'bolehh', 'tolong', 'tidak', 'tugas', 'bikin', 'proposal', 'butuh', 'anak', 'psikolog', 'kalau', 'tidak', 'anak', 'bimbing', 'konsling', 'ngelengkapin', 'kelompok', 'pls', 'rply', 'ya']",-23,-1
unnesmenfess ready kak,"['unnesmenfess', 'ready', 'kak']",1,1
ness driver cewek anjem poncol jam 21 12,"['ness', 'driver', 'cewek', 'anjem', 'poncol', 'jam', '21', '12']",0,0
mas mbak kamu ness ada service kipas angin,"['mas', 'mbak', 'kamu', 'ness', 'ada', 'service', 'kipas', 'angin']",1,1
ness alumni unice yang kerja halo baca majapahit kah spill kos daerah budget berapa kos cowok berapa kos cewek bulan ya kak tahu kos nya yang kosong ngikut,"['ness', 'alumni', 'unice', 'yang', 'kerja', 'halo', 'baca', 'majapahit', 'kah', 'spill', 'kos', 'daerah', 'budget', 'berapa', 'kos', 'cowok', 'berapa', 'kos', 'cewek', 'bulan', 'ya', 'kak', 'tahu', 'kos', 'nya', 'yang', 'kosong', 'ngikut']",-12,-1
ness tanya hrga mi judes itu ya ku liat goput 16k kemarin jastip dapat hrga 13k takut kakak yang jastipin tidak ambil untung mlhan rugi aku yang tidak enak,"['ness', 'tanya', 'hrga', 'mi', 'judes', 'itu', 'ya', 'ku', 'liat', 'goput', '16k', 'kemarin', 'jastip', 'dapat', 'hrga', '13k', 'takut', 'kakak', 'yang', 'jastipin', 'tidak', 'ambil', 'untung', 'mlhan', 'rugi', 'aku', 'yang', 'tidak', 'enak']",-34,-1
ness tani gunung party saya biar teman ngobrolnya saja m21,"['ness', 'tani', 'gunung', 'party', 'saya', 'biar', 'teman', 'ngobrolnya', 'saja', 'm21']",-6,-1
medpart hallo teman pesta sudah tidak sabar nonton guest star nih coba sebutin ingin tonton tiket klik link https t co swry9zuu7b yaaa ketemu pekan pesta jumpapekanpesta https t co aeunk80t87,"['medpart', 'hallo', 'teman', 'pesta', 'sudah', 'tidak', 'sabar', 'nonton', 'guest', 'star', 'nih', 'coba', 'sebutin', 'ingin', 'tonton', 'tiket', 'klik', 'link', 'https', 't', 'co', 'swry9zuu7b', 'yaaa', 'ketemu', 'pekan', 'pesta', 'jumpapekanpesta', 'https', 't', 'co', 'aeunk80t87']",11,1
ness info tukang jahit vermak yang bagus unnes mau kecilin celana hufttt besar,"['ness', 'info', 'tukang', 'jahit', 'vermak', 'yang', 'bagus', 'unnes', 'mau', 'kecilin', 'celana', 'hufttt', 'besar']",-11,-1
adeladelll22 unnesmenfess sampang jembatan besi samping toko sembako kanan jalan kalau unnes buka pagi,"['adeladelll22', 'unnesmenfess', 'sampang', 'jembatan', 'besi', 'samping', 'toko', 'sembako', 'kanan', 'jalan', 'kalau', 'unnes', 'buka', 'pagi']",-9,-1
ness tagih beli pancong guys https t co kioyewcswq,"['ness', 'tagih', 'beli', 'pancong', 'guys', 'https', 't', 'co', 'kioyewcswq']",-3,-1
lolbangetkamu jelek sangat sennu unnes https t co imsnx173jq,"['lolbangetkamu', 'jelek', 'sangat', 'sennu', 'unnes', 'https', 't', 'co', 'imsnx173jq']",-7,-1
ness titip anak fakultas dokter tidak jurus saja ingin tanya2,"['ness', 'titip', 'anak', 'fakultas', 'dokter', 'tidak', 'jurus', 'saja', 'ingin', 'tanya2']",-8,-1
ness moga acara begitu tidak si anggur sangat ingin tidak tahu mana pasar malam sudah tidak ada,"['ness', 'moga', 'acara', 'begitu', 'tidak', 'si', 'anggur', 'sangat', 'ingin', 'tidak', 'tahu', 'mana', 'pasar', 'malam', 'sudah', 'tidak', 'ada']",-19,-1
undipmenfess pikir anak rantau unnes gunungpati semarang si aowkkwkw tembalang semarang ya,"['undipmenfess', 'pikir', 'anak', 'rantau', 'unnes', 'gunungpati', 'semarang', 'si', 'aowkkwkw', 'tembalang', 'semarang', 'ya']",-1,-1
yang butuh bekas2 skincarean tidak ness beberapa barangkali nukerin sociolla,"['yang', 'butuh', 'bekas2', 'skincarean', 'tidak', 'ness', 'beberapa', 'barangkali', 'nukerin', 'sociolla']",-15,-1
ness rekomendasi makan yang kuah segar sakit ingin makan yang seger2,"['ness', 'rekomendasi', 'makan', 'yang', 'kuah', 'segar', 'sakit', 'ingin', 'makan', 'yang', 'seger2']",-11,-1
ness info kos daerah sampang bendan cewek,"['ness', 'info', 'kos', 'daerah', 'sampang', 'bendan', 'cewek']",-3,-1
ness yang jastipin mi level gang pete bm mie,"['ness', 'yang', 'jastipin', 'mi', 'level', 'gang', 'pete', 'bm', 'mie']",-9,-1
icegreenteaa i cinta unnes https t co ogawjfihni,"['icegreenteaa', 'i', 'cinta', 'unnes', 'https', 't', 'co', 'ogawjfihni']",2,1
kelas jadi bahan ghibah tanda ness tidak pernah nyenggol hidup wkwk,"['kelas', 'jadi', 'bahan', 'ghibah', 'tanda', 'ness', 'tidak', 'pernah', 'nyenggol', 'hidup', 'wkwk']",-13,-1
bank btn unnes rusak si,"['bank', 'btn', 'unnes', 'rusak', 'si']",-1,-1
ness butuh anjemm yang deket gg mangga burjo rayaa sekarang ya,"['ness', 'butuh', 'anjemm', 'yang', 'deket', 'gg', 'mangga', 'burjo', 'rayaa', 'sekarang', 'ya']",-9,-1
ness burjo yang mienya lengkap mana ya ingin makan mie goreng gaga yang pedas burjo laskar tidak sih,"['ness', 'burjo', 'yang', 'mienya', 'lengkap', 'mana', 'ya', 'ingin', 'makan', 'mie', 'goreng', 'gaga', 'yang', 'pedas', 'burjo', 'laskar', 'tidak', 'sih']",-21,-1
kek gin tidak kalau sewa tidak yang tahu sekitar unnes beli ginian mana tidak yaa makasii ness https t co niyaqenrhh,"['kek', 'gin', 'tidak', 'kalau', 'sewa', 'tidak', 'yang', 'tahu', 'sekitar', 'unnes', 'beli', 'ginian', 'mana', 'tidak', 'yaa', 'makasii', 'ness', 'https', 't', 'co', 'niyaqenrhh']",-22,-1
ness kalau pakai flatshoes nyaman tidak si pakai flatshoes jari kaki lecet huhu,"['ness', 'kalau', 'pakai', 'flatshoes', 'nyaman', 'tidak', 'si', 'pakai', 'flatshoes', 'jari', 'kaki', 'lecet', 'huhu']",-10,-1
andihalim87 ndreamon unnes gunung pati maps tidak nih bang kalau deket bisa laaahh,"['andihalim87', 'ndreamon', 'unnes', 'gunung', 'pati', 'maps', 'tidak', 'nih', 'bang', 'kalau', 'deket', 'bisa', 'laaahh']",-7,-1
topi unnes gede sangat sudah,"['topi', 'unnes', 'gede', 'sangat', 'sudah']",-1,-1
yang butuh buku2 tidak ya sender kasih gratis ambil ness https t co gos0gspsmm,"['yang', 'butuh', 'buku2', 'tidak', 'ya', 'sender', 'kasih', 'gratis', 'ambil', 'ness', 'https', 't', 'co', 'gos0gspsmm']",-15,-1
more info https t co pf8yli5nzs olivia tekkimpeduli onedayofcharity hmptkunnes kabinetrevolusi salamyeswecan,"['more', 'info', 'https', 't', 'co', 'pf8yli5nzs', 'olivia', 'tekkimpeduli', 'onedayofcharity', 'hmptkunnes', 'kabinetrevolusi', 'salamyeswecan']",-3,-1
tekkim peduli odc butuh dukung transparansi link https t co gntehoylzq,"['tekkim', 'peduli', 'odc', 'butuh', 'dukung', 'transparansi', 'link', 'https', 't', 'co', 'gntehoylzq']",4,1
60 rp 82 954 00 40 rp 55 302 00 hasil 60 donasi salur panti asuh sama odc agustus terima kasih donatur bantu moga baik saudara balas tuhan maha esa,"['60', 'rp', '82', '954', '00', '40', 'rp', '55', '302', '00', 'hasil', '60', 'donasi', 'salur', 'panti', 'asuh', 'sama', 'odc', 'agustus', 'terima', 'kasih', 'donatur', 'bantu', 'moga', 'baik', 'saudara', 'balas', 'tuhan', 'maha', 'esa']",25,1
transparansi tekkim peduli odc alhamdulillahirabbil alamin hasil donasi tekkim peduli one day of charity juli rp 97 000 00 sisa kas juni rp 41 256 00 total donasi rp 138 256 00 https t co zysbfevtxd,"['transparansi', 'tekkim', 'peduli', 'odc', 'alhamdulillahirabbil', 'alamin', 'hasil', 'donasi', 'tekkim', 'peduli', 'one', 'day', 'of', 'charity', 'juli', 'rp', '97', '000', '00', 'sisa', 'kas', 'juni', 'rp', '41', '256', '00', 'total', 'donasi', 'rp', '138', '256', '00', 'https', 't', 'co', 'zysbfevtxd']",7,1
yuuk open jastip makan 3k unnes only yaa,"['yuuk', 'open', 'jastip', 'makan', '3k', 'unnes', 'only', 'yaa']",2,1
unnesmenfess mauu ka,"['unnesmenfess', 'mauu', 'ka']",0,0
ness yang gratis gaa ambil ambil dikoskuu saja komen ku dm https t co pjmzc7qv70,"['ness', 'yang', 'gratis', 'gaa', 'ambil', 'ambil', 'dikoskuu', 'saja', 'komen', 'ku', 'dm', 'https', 't', 'co', 'pjmzc7qv70']",-14,-1
ness need anjem unnes jam 6 50 bayar pakai dana,"['ness', 'need', 'anjem', 'unnes', 'jam', '6', '50', 'bayar', 'pakai', 'dana']",2,1
ness jasa motong jam tangan rantai mana ya feenya ya,"['ness', 'jasa', 'motong', 'jam', 'tangan', 'rantai', 'mana', 'ya', 'feenya', 'ya']",2,1
ness lagi bu amp sewain motor 4,"['ness', 'lagi', 'bu', 'amp', 'sewain', 'motor', '4']",-3,-1
minimal 7rb feenya,"['minimal', '7rb', 'feenya']",-3,-1
ness bingung sama yang cari jastip 3 4k tidak ngantri harga segitu tuh kalau tidak ambil double triple 5 order tuh tidak dapat apa2 mba dapat cape saja ngeliat jalan unnes yang naudzubillah sekarang kalau sat set mah cont,"['ness', 'bingung', 'sama', 'yang', 'cari', 'jastip', '3', '4k', 'tidak', 'ngantri', 'harga', 'segitu', 'tuh', 'kalau', 'tidak', 'ambil', 'double', 'triple', '5', 'order', 'tuh', 'tidak', 'dapat', 'apa2', 'mba', 'dapat', 'cape', 'saja', 'ngeliat', 'jalan', 'unnes', 'yang', 'naudzubillah', 'sekarang', 'kalau', 'sat', 'set', 'mah', 'cont']",-44,-1
ness info lomba poster digital boleh pakai canva buka makasihh,"['ness', 'info', 'lomba', 'poster', 'digital', 'boleh', 'pakai', 'canva', 'buka', 'makasihh']",-1,-1
info jastip unnes beli keju aroma,"['info', 'jastip', 'unnes', 'beli', 'keju', 'aroma']",-4,-1
ness nasi goreng yang enak tempat enak dine in,"['ness', 'nasi', 'goreng', 'yang', 'enak', 'tempat', 'enak', 'dine', 'in']",-5,-1
aditamafaisal sekian akeh kampus ngopo pilih unnes,"['aditamafaisal', 'sekian', 'akeh', 'kampus', 'ngopo', 'pilih', 'unnes']",-2,-1
unnesmenfess cewek yaa,"['unnesmenfess', 'cewek', 'yaa']",0,0
unnesmenfess maaf oot kos cari roomate barangkali mauu sila ketuk dm yaahh,"['unnesmenfess', 'maaf', 'oot', 'kos', 'cari', 'roomate', 'barangkali', 'mauu', 'sila', 'ketuk', 'dm', 'yaahh']",-10,-1
pict 1 benar senyum bocil mati sangat si chan,"['pict', '1', 'benar', 'senyum', 'bocil', 'mati', 'sangat', 'si', 'chan']",-4,-1
ness angkring jual pangsit angkring ya,"['ness', 'angkring', 'jual', 'pangsit', 'angkring', 'ya']",1,1
6entong iso mlaku seko unnes,"['6entong', 'iso', 'mlaku', 'seko', 'unnes']",-3,-1
yang menu seblak gendhis tidak ya ness,"['yang', 'menu', 'seblak', 'gendhis', 'tidak', 'ya', 'ness']",-10,-1
ness jastip 3k ken yang tidak ngantri kalau banyak mah cari yang murah,"['ness', 'jastip', '3k', 'ken', 'yang', 'tidak', 'ngantri', 'kalau', 'banyak', 'mah', 'cari', 'yang', 'murah']",-18,-1
anak teknik sakit ness,"['anak', 'teknik', 'sakit', 'ness']",-9,-1
unnesmenfess bakarannn wkwk,"['unnesmenfess', 'bakarannn', 'wkwk']",0,0
bem fh unnes fakultas promoo woylaa salma dewa 100rb an yukk beli https t co lm0qndddiz,"['bem', 'fh', 'unnes', 'fakultas', 'promoo', 'woylaa', 'salma', 'dewa', '100rb', 'an', 'yukk', 'beli', 'https', 't', 'co', 'lm0qndddiz']",3,1
ness yang malam free yang model makeup tidak,"['ness', 'yang', 'malam', 'free', 'yang', 'model', 'makeup', 'tidak']",-10,-1
ness mam pakai nasi ayam ya jastip,"['ness', 'mam', 'pakai', 'nasi', 'ayam', 'ya', 'jastip']",-3,-1
info kos unnes bulan harga 500 kostunnes,"['info', 'kos', 'unnes', 'bulan', 'harga', '500', 'kostunnes']",-1,-1
ness mile crepes rainbow kenapa enak sekali sudah ingin beli loyang duit eobsoo https t co mo4ozkbet2,"['ness', 'mile', 'crepes', 'rainbow', 'kenapa', 'enak', 'sekali', 'sudah', 'ingin', 'beli', 'loyang', 'duit', 'eobsoo', 'https', 't', 'co', 'mo4ozkbet2']",0,0
info ness jual es kul kul dimanaaaa,"['info', 'ness', 'jual', 'es', 'kul', 'kul', 'dimanaaaa']",-2,-1
sudah unnes info,"['sudah', 'unnes', 'info']",-2,-1
ness skripsi ngeprint sudah paperless,"['ness', 'skripsi', 'ngeprint', 'sudah', 'paperless']",1,1
ness kenapa sih yang suka jual preloved menfess tuh suka php enak nya tidak ada kabar padahal sudah niat beli janjiin cod sekarang rela nunggu sampai tidak pergi kmn2 biar tidak bilang beli php eh jual nya yang php pls sama2 harga guys,"['ness', 'kenapa', 'sih', 'yang', 'suka', 'jual', 'preloved', 'menfess', 'tuh', 'suka', 'php', 'enak', 'nya', 'tidak', 'ada', 'kabar', 'padahal', 'sudah', 'niat', 'beli', 'janjiin', 'cod', 'sekarang', 'rela', 'nunggu', 'sampai', 'tidak', 'pergi', 'kmn2', 'biar', 'tidak', 'bilang', 'beli', 'php', 'eh', 'jual', 'nya', 'yang', 'php', 'pls', 'sama2', 'harga', 'guys']",-31,-1
ness tolong info nasi padang yang paket 10k 12k,"['ness', 'tolong', 'info', 'nasi', 'padang', 'yang', 'paket', '10k', '12k']",-4,-1
ness nuker almet ukur xl s plss replyy titip,"['ness', 'nuker', 'almet', 'ukur', 'xl', 's', 'plss', 'replyy', 'titip']",3,1
